CURVE,X,Y
349,84,826.7
349,85,833.7
349,86,847.4
349,87,854.2
349,89,867.2
349,90,879.8
349,92,892.1
349,93,898
349,94,909.6
349,95,915.2
349,97,926.1
349,98,936.6
349,99,941.7
349,101,951.5
349,102,960.8
349,103,965.4
349,104,969.8
349,105,974.1
349,106,982.4
349,107,986.4
349,108,990.3
349,109,994.1
349,110,1001.3
349,111,1004.8
349,113,1011.4
349,114,1017.6
349,116,1023.4
349,117,1026.1
349,118,1031.4
349,120,1036.2
349,121,1038.4
349,122,1042.6
349,123,1044.6
349,124,1046.5
349,125,1048.3
349,126,1051.6
349,128,1054.6
349,129,1055.8
349,130,1058.3
349,132,1060.3
349,133,1061.2
349,134,1062.8
349,135,1063.4
349,137,1064.4
349,138,1065.2
349,140,1065.6
176,0,0
176,1,0
176,2,0.7
176,3,1.5
176,4,2.6
176,5,4
176,6,7.5
176,7,9.8
176,8,12.4
176,9,15.2
176,10,21.8
176,11,25.5
176,12,29.4
176,13,33.8
176,14,42.9
176,15,47.9
176,16,53
176,17,58.5
176,18,69.9
176,20,82.2
176,21,88.7
176,22,102.2
176,23,109.1
176,24,116.2
176,25,123.6
176,26,138.4
176,28,153.8
176,29,161.7
176,30,177.8
176,31,185.9
176,32,194.2
176,33,202.7
176,34,219.5
176,37,245.5
176,38,263.2
176,41,289.8
176,42,307.8
176,45,334.9
176,46,353
176,49,380.2
176,50,398.3
176,53,425.2
176,54,443
176,57,469.5
176,58,487
176,60,504.1
176,61,512.8
176,62,529.7
176,64,546.4
176,65,554.5
176,66,570.9
176,67,579
176,69,594.9
176,70,610.4
176,71,618.1
176,73,633.2
176,74,648
176,76,662.5
176,77,669.5
176,78,683.4
176,79,690.3
176,81,703.8
176,82,716.8
176,84,729.4
176,85,735.6
176,86,747.7
176,87,753.7
176,89,765.2
176,90,776.3
176,91,781.9
176,93,792.3
176,94,802.6
176,96,812.4
176,97,817.1
176,98,826.4
176,99,830.9
176,100,835.3
176,101,839.5
176,102,847.7
176,103,851.9
176,104,855.8
176,105,859.5
176,106,866.8
176,107,870.4
176,108,873.8
176,109,877.1
176,110,883.5
176,111,886.6
176,113,892.4
176,114,897.9
176,115,900.5
176,117,905.3
176,118,910
176,119,912.2
176,120,914.3
176,121,916.2
176,122,920
176,123,921.7
176,124,923.5
176,125,925
176,126,927.9
176,128,930.5
176,129,931.6
176,130,933.8
176,131,934.6
176,132,935.6
176,133,936.4
176,134,937.8
176,135,938.2
176,137,939.2
176,138,939.8
176,139,940.1
176,140,940.3
176,141,940.2
166,0,0
166,1,0
166,2,0.7
166,3,1.5
166,4,2.4
166,5,3.8
166,6,7.2
166,7,9.3
166,8,11.6
166,9,14.2
166,10,20.1
166,11,23.4
166,12,27
166,13,30.8
166,14,38.9
166,15,43.3
166,16,47.9
166,17,52.7
166,18,62.7
166,19,68.1
166,20,73.4
166,21,79
166,22,90.7
166,24,102.7
166,25,109.2
166,26,122
166,27,128.4
166,29,141.8
166,30,155.6
166,32,169.6
166,33,176.7
166,34,191.1
166,35,198.5
166,37,213.1
166,38,228
166,39,235.5
166,41,250.7
166,42,265.8
166,45,288.8
166,46,304
166,48,319.4
166,49,326.9
166,50,342.1
166,53,364.9
166,54,379.9
166,55,387.4
166,57,402.2
166,58,416.8
166,59,424.2
166,61,438.6
166,62,452.9
166,63,460
166,65,474
166,66,487.7
166,68,501.3
166,69,507.9
166,70,521.1
166,71,527.6
166,73,540.4
166,74,552.9
166,75,559.1
166,76,565.2
166,77,571.2
166,78,583.1
166,80,594.7
166,81,600.3
166,82,611.5
166,83,616.9
166,85,627.5
166,86,637.9
166,87,643
166,88,648
166,89,652.9
166,90,662.6
166,91,667.3
166,92,671.8
166,93,676.4
166,94,685.1
166,95,689.5
166,96,693.7
166,97,697.8
166,98,705.9
166,99,709.8
166,100,713.6
166,101,717.3
166,102,724.7
166,103,728.2
166,104,731.6
166,105,734.9
166,106,741.5
166,107,744.6
166,109,750.6
166,110,756.4
166,112,761.8
166,113,764.4
166,114,769.4
166,117,776.3
166,118,780.6
166,119,782.6
166,121,786.4
166,122,790
166,123,791.7
166,124,793.3
166,125,794.8
166,126,797.7
166,127,799.1
166,128,800.4
166,129,801.6
166,130,803.8
166,132,805.8
166,133,806.7
166,134,808.3
166,135,809
166,136,809.6
166,137,810.3
166,138,811.2
166,140,812
166,141,812.3
166,142,812.8
166,144,813
373,0,0
373,1,0
373,2,0.3
373,3,0.5
373,5,1.3
373,6,2.6
373,7,3.4
373,9,5.2
373,10,7.5
373,11,8.8
373,13,11.6
373,14,14.8
373,16,18.4
373,17,20.3
373,18,24.3
373,19,26.4
373,20,28.6
373,21,30.9
373,22,35.6
373,23,38
373,24,40.5
373,25,43.1
373,26,48.4
373,28,53.8
373,29,56.6
373,30,62.3
373,31,65.1
373,32,68.1
373,33,71
373,34,77.1
373,35,80.1
373,37,86.3
373,38,92.6
373,39,95.7
373,41,102.1
373,42,108.5
373,44,114.9
373,45,118.2
373,46,124.6
373,47,127.9
373,48,131.1
373,49,134.4
373,50,140.8
373,51,144.1
373,53,150.5
373,54,156.9
373,56,163.3
373,57,166.4
373,58,172.7
373,61,182
373,62,188.1
373,63,191.2
373,64,194.2
373,65,197.1
373,66,203.1
373,68,208.9
373,69,211.7
373,70,217.4
373,71,220.2
373,72,222.9
373,73,225.7
373,74,231.1
373,77,238.9
373,78,244
373,80,249
373,81,251.4
373,82,256.2
373,85,263.1
373,86,267.6
373,87,269.7
373,88,271.9
373,89,274
373,90,278.1
373,92,282.1
373,93,284
373,94,287.8
373,95,289.7
373,96,291.5
373,97,293.2
373,98,296.7
373,99,298.4
373,101,301.6
373,102,304.7
373,103,306.2
373,104,307.6
373,105,309.1
373,106,311.8
373,107,313.2
373,108,314.5
373,109,315.7
373,110,318.1
373,111,319.3
373,113,321.5
373,114,323.6
373,116,325.6
373,117,326.5
373,118,328.3
373,119,329.2
373,121,330.8
373,122,332.2
373,124,333.6
373,125,334.2
373,126,335.4
373,127,335.9
373,128,336.5
373,129,336.9
373,130,337.8
